funding_time,product_id,funding_rate,index_price,settlement_price,mid,price,open_interest,volume_24h,fetched_at
2026-09-05T00:00:00Z,BIP-20DEC30-CDE,4e-06,79723.838309,79790,79717.5,79715,173830,706782,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,BNB-20DEC30-CDE,1.3e-05,721.498719,720.2,721.8,720.9,365,785,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,DOP-20DEC30-CDE,3e-06,0.084771,0.08475,0.08478,0.08468,2454,9060,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,ENA-20DEC30-CDE,-4e-06,0.16297,0.1633,0.162965,0.16337,1163,14306,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,ETP-20DEC30-CDE,1.2e-05,2457.52067,2455.5,2456.75,2456.5,319396,337662,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,HEP-20DEC30-CDE,3e-06,0.078926,0.07733,0.07905,0.07824,2239,15946,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,HYP-20DEC30-CDE,2.1e-05,84.348719,84.89,84.45,84.4,9250,18693,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,LCP-20DEC30-CDE,-1.9e-05,50.915276,50.68,50.96,50.86,3178,4652,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,LNP-20DEC30-CDE,4e-06,11.632677,11.711,11.635,11.616,4294,8941,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,NER-20DEC30-CDE,-9e-06,2.205484,2.1617,2.20495,2.2076,1157,10753,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,OND-20DEC30-CDE,-1e-06,0.358813,0.3582,0.359,0.3573,4919,9474,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,PAU-20DEC30-CDE,3e-06,4432.994753,4435.8,4434.65,4435.5,1192,2031,2026-09-05T00:14:01Z
2026-09-05T00:00:00Z,PEP-20DEC30-CDE,4e-06,0.00352,0.003579,0.0035125,0.003524,665,4108,2026-09-05T00:14:01Z
